tipo_pagamento,estado_entrega,dispositivo,periodo_compra,usa_cupom,chargeback_previo,valor_pedido,qtd_itens,tempo_cadastro_dias,compras_anteriores,dist_cobranca_entrega_km,score_risco,idade_cliente,fraude
Cartão,RJ,Mobile,Tarde,Não,Não,710.25,3,1891.0,5,8.52,45.1,38,0.0
Pix,BA,Desktop,Noite,Não,Não,464.29,7,,6,44.23,59.3,37,0.0
,MG,Mobile,Tarde,Não,Não,283.11,6,1600.0,8,18.53,46.6,20,0.0
Pix,SP,Tablet,Noite,Não,Não,60.8,2,947.0,7,53.67,65.9,36,1.0
Cartão,MG,Mobile,Noite,Sim,Não,361.74,7,549.0,5,5.35,51.2,57,0.0
Cartão,PE,Mobile,Tarde,Não,Não,152.94,2,974.0,7,6.03,33.7,53,0.0
Cartão,SP,Mobile,Noite,Não,Não,161.8,3,1626.0,8,40.79,46.6,79,0.0
Pix,BA,Mobile,Tarde,Sim,Não,225.41,7,968.0,5,2.15,,18,0.0
Cartão,RJ,Desktop,Tarde,Sim,Sim,1504.0,2,245.0,7,39.8,37.8,38,0.0
Boleto,RJ,Desktop,Noite,Sim,Não,80.05,2,685.0,0,17.44,65.0,67,0.0
Cartão,GO,Mobile,Manhã,Sim,Não,453.73,4,287.0,9,24.56,39.5,27,1.0
,RJ,Desktop,Noite,Sim,Não,545.26,6,72.0,9,23.97,35.8,47,0.0
Cartão,RJ,Mobile,Madrugada,Sim,Não,175.09,7,932.0,4,20.09,60.8,46,0.0
Cartão,MG,Mobile,Tarde,Sim,Não,157.13,4,734.0,6,28.0,28.6,20,0.0
Cartão,MG,Mobile,Noite,Não,Não,403.87,6,699.0,5,43.66,72.9,61,1.0
Cartão,BA,Desktop,Tarde,Não,Não,263.46,6,784.0,4,24.36,67.3,29,0.0
Pix,SP,Desktop,Tarde,Não,Não,408.48,7,1399.0,4,30.47,21.9,46,0.0
Pix,SP,Mobile,Tarde,Sim,Não,,6,181.0,4,13.14,,22,0.0
Boleto,PE,Mobile,Noite,Não,Não,719.71,1,1402.0,3,6.97,62.7,37,0.0
Cartão,SP,Desktop,Manhã,Não,Não,414.98,1,1503.0,5,10.34,42.5,61,0.0
Pix,RJ,Mobile,Madrugada,Não,Não,189.27,2,159.0,6,37.45,47.7,30,1.0
Cartão,MG,Mobile,Tarde,Não,Não,160.09,7,675.0,7,10.55,16.0,20,0.0
Cartão,PR,Desktop,Tarde,Sim,Não,589.82,7,,6,10.77,67.4,35,0.0
Cartão,PR,Mobile,Tarde,Sim,Não,535.92,2,1998.0,8,11.1,30.0,75,0.0
Cartão,RJ,Mobile,Noite,Sim,Não,371.58,6,1273.0,7,46.97,4.2,25,0.0
Pix,PE,Mobile,Manhã,Sim,Não,682.2,7,1775.0,9,29.41,33.7,56,0.0
,PR,Desktop,Tarde,Não,Não,348.73,3,1086.0,8,44.25,27.1,74,0.0
Cartão,SP,Desktop,Manhã,Sim,Não,143.97,7,167.0,8,10.06,49.2,78,0.0
Cartão,SP,Mobile,Tarde,Sim,Não,568.75,6,,4,49.07,73.9,32,1.0
Cartão,BA,Mobile,Manhã,Sim,Não,291.8,3,952.0,2,14.97,51.1,34,1.0
Cartão,RJ,Desktop,Tarde,Sim,Não,130.86,2,,6,10.26,60.6,50,0.0
Cartão,BA,Mobile,Tarde,Sim,Não,183.57,5,1473.0,8,10.49,89.7,33,
Pix,SP,Mobile,Tarde,Não,Não,702.76,4,1023.0,1,10.48,39.7,63,0.0
Boleto,MG,Mobile,Madrugada,Sim,Não,688.53,5,1471.0,7,33.35,4.1,59,0.0
Cartão,RJ,Desktop,Noite,Não,Não,376.31,6,247.0,6,29.56,25.9,69,0.0
Pix,PE,Desktop,Tarde,Sim,Não,438.16,6,669.0,6,21.43,51.1,53,1.0
Boleto,RS,Mobile,Tarde,Sim,Não,266.59,4,1884.0,11,15.95,26.2,73,0.0
Cartão,BA,,Manhã,Sim,Não,656.83,6,1792.0,7,48.33,61.4,21,0.0
,BA,Desktop,Tarde,Não,Sim,381.88,2,1117.0,5,14.71,21.8,39,0.0
Cartão,SP,Mobile,Tarde,Não,Não,451.07,7,458.0,4,6.53,21.7,70,0.0
Pix,BA,Mobile,Manhã,Não,Não,484.93,4,1032.0,5,6.49,18.2,75,0.0
Pix,GO,Desktop,Noite,Sim,Não,211.12,1,1384.0,10,13.96,,23,0.0
Pix,PE,Mobile,Noite,Sim,Sim,,6,350.0,4,30.77,40.8,32,1.0
Pix,SP,Desktop,Tarde,Não,Não,223.76,2,1438.0,10,67.52,38.2,22,0.0
Boleto,MG,Mobile,Manhã,Não,Não,165.91,2,425.0,7,6.34,62.1,73,
Pix,GO,Mobile,Noite,Sim,Não,262.0,2,1734.0,9,6.81,,32,0.0
Boleto,BA,Mobile,Madrugada,Não,Não,948.99,6,,6,53.86,74.4,46,1.0
Cartão,SP,Desktop,Madrugada,Não,Não,369.22,3,1975.0,10,19.56,83.3,68,0.0
Cartão,SP,Desktop,Tarde,Sim,Não,186.08,6,1752.0,5,75.78,69.0,37,0.0
Boleto,MG,Desktop,Manhã,Sim,Não,557.38,2,1357.0,9,18.16,55.1,36,0.0
Boleto,BA,Mobile,Tarde,Não,Não,268.1,2,649.0,6,37.62,36.0,20,0.0
Pix,RS,Desktop,Tarde,Não,Não,593.86,6,1556.0,4,0.51,64.1,51,0.0
Pix,PE,,Tarde,Sim,Sim,812.76,2,1444.0,6,67.22,70.8,77,1.0
Cartão,RS,Desktop,Madrugada,Sim,Não,174.1,6,1652.0,9,18.18,38.0,49,0.0
Cartão,MG,Mobile,Noite,Sim,Não,131.65,6,1969.0,8,8.22,40.8,71,0.0
Cartão,GO,Mobile,Manhã,Não,Não,422.56,5,13.0,10,11.03,69.2,47,0.0
Cartão,GO,Mobile,Noite,Sim,Não,538.33,4,731.0,7,29.2,0.0,50,0.0
Cartão,MG,,Noite,Não,Não,382.37,1,1554.0,5,16.15,57.3,52,0.0
Pix,MG,,Tarde,Não,Não,462.87,2,1977.0,9,23.36,,36,0.0
Boleto,RS,Mobile,Noite,Não,Não,230.54,4,1032.0,4,23.1,29.6,18,0.0
Cartão,BA,Mobile,Madrugada,Não,Não,663.59,1,426.0,10,5.55,29.6,33,0.0
Cartão,PR,Mobile,Madrugada,Não,Não,315.11,4,1777.0,7,55.16,11.9,18,
Boleto,RS,Mobile,Manhã,Não,Não,208.98,2,1800.0,8,12.26,39.3,43,0.0
Cartão,SP,Mobile,Manhã,Não,Não,146.49,4,1084.0,7,6.09,60.9,60,0.0
Cartão,SP,Mobile,Manhã,Sim,Não,599.61,4,1338.0,10,42.52,28.1,44,0.0
Cartão,MG,Desktop,Tarde,Não,Não,262.86,4,627.0,8,23.13,47.6,75,1.0
Cartão,MG,Tablet,Manhã,Sim,Não,143.38,2,884.0,3,18.84,20.8,71,0.0
Cartão,PR,Mobile,Noite,Não,Não,203.82,3,664.0,7,24.25,6.3,63,0.0
Boleto,RJ,Desktop,Tarde,Não,Sim,466.7,3,556.0,5,7.43,0.0,42,0.0
Pix,PE,Mobile,Tarde,Não,Sim,364.62,4,104.0,4,13.38,49.7,36,0.0
Cartão,GO,Desktop,Noite,Não,Não,580.88,6,447.0,6,20.41,63.6,26,0.0
Cartão,SP,Desktop,Noite,Não,Não,1744.86,6,1459.0,6,54.3,,64,1.0
Cartão,PE,Mobile,Noite,Não,Sim,203.73,7,1236.0,6,21.17,18.3,47,0.0
Cartão,RJ,Desktop,Noite,Sim,Sim,483.03,2,1251.0,10,19.44,76.3,62,1.0
Cartão,MG,Desktop,Tarde,Não,Não,762.04,7,,6,4.48,59.5,72,0.0
Cartão,SP,Desktop,Tarde,Sim,Não,356.56,6,1160.0,11,46.03,66.4,28,0.0
Cartão,SP,Desktop,Tarde,Sim,Não,371.72,4,472.0,4,18.37,250.0,46,0.0
Cartão,MG,Desktop,Tarde,Não,Não,138.69,3,1448.0,3,14.18,58.5,52,0.0
Boleto,GO,Mobile,Manhã,Sim,Não,477.4,5,972.0,6,24.85,39.1,34,0.0
Cartão,GO,Mobile,Noite,Não,Não,635.43,7,1021.0,1,25.6,28.5,54,0.0
Cartão,RJ,Mobile,Noite,Não,Não,154.69,6,1775.0,8,2.79,54.9,75,0.0
Cartão,GO,Mobile,Madrugada,Sim,Não,246.49,5,417.0,9,10.3,32.9,45,0.0
Boleto,RJ,Mobile,Madrugada,Sim,Não,1334.86,6,1102.0,7,41.37,49.3,63,1.0
,BA,Desktop,Manhã,Sim,Não,807.76,4,405.0,7,51.3,,51,1.0
Cartão,BA,Mobile,Noite,Sim,Não,455.79,3,289.0,6,18.96,34.3,19,0.0
Boleto,PR,Desktop,Madrugada,Não,Não,530.36,6,1897.0,5,50.99,49.5,30,0.0
Cartão,PE,Desktop,Tarde,Sim,Não,262.47,5,1901.0,3,26.13,53.1,38,0.0
Cartão,PR,,Madrugada,Não,Sim,1204.75,5,767.0,4,9.08,41.0,59,
Boleto,RJ,Desktop,Tarde,Não,Não,271.18,4,55.0,8,22.34,0.0,70,0.0
Cartão,GO,Desktop,Tarde,Não,Não,598.22,4,1857.0,4,2.52,42.9,75,0.0
Cartão,MG,Desktop,Tarde,Sim,Não,298.57,3,1337.0,4,5.24,33.9,40,0.0
Cartão,RJ,Mobile,Tarde,Não,Sim,664.26,6,326.0,4,40.64,20.6,55,0.0
Boleto,SP,Desktop,Noite,Não,Não,482.09,1,-30.0,5,36.63,82.0,20,1.0
Boleto,BA,Mobile,Tarde,Não,Não,303.84,6,220.0,5,7.57,29.1,29,0.0
Pix,BA,Desktop,Noite,Não,Não,485.89,7,1561.0,12,19.22,70.8,36,1.0
Cartão,PE,Mobile,Noite,Não,Não,147.43,5,640.0,6,39.05,45.2,22,0.0
Boleto,RS,Tablet,Manhã,Sim,Não,614.26,1,1959.0,6,11.44,41.9,51,0.0
Cartão,PE,Mobile,Manhã,Não,Não,107.01,7,1303.0,11,37.08,56.5,68,0.0
Cartão,PE,Mobile,Tarde,Sim,Não,536.27,5,683.0,7,22.25,80.5,59,1.0
Cartão,RJ,Mobile,Manhã,Não,Não,489.49,5,,9,14.79,45.2,60,0.0
Pix,SP,Desktop,Tarde,Não,Não,590.36,5,1208.0,9,5.28,34.9,50,0.0
Cartão,RJ,Mobile,Tarde,Não,Não,293.5,4,1169.0,7,16.07,56.8,50,1.0
Pix,RS,Mobile,Madrugada,Sim,Não,378.61,7,1183.0,4,24.75,65.9,26,1.0
Cartão,PE,Mobile,Tarde,Não,Não,20.91,1,,6,7.47,55.3,45,0.0
Cartão,PE,Desktop,Manhã,Não,Não,123.56,2,52.0,11,0.51,62.5,20,0.0
Pix,RJ,Mobile,Manhã,Sim,Não,391.86,4,1820.0,4,32.32,66.3,47,0.0
Cartão,RJ,Mobile,Noite,Sim,Não,,5,1159.0,8,10.81,67.0,38,0.0
Pix,SP,Mobile,Manhã,Sim,Não,114.05,1,377.0,4,25.78,44.4,36,0.0
Boleto,BA,Mobile,Tarde,Não,Não,373.19,1,18.0,8,31.62,72.6,63,0.0
Cartão,MG,Desktop,Tarde,Não,Não,,3,1232.0,6,53.13,39.1,49,0.0
Cartão,RS,Mobile,Manhã,Não,Não,403.61,4,134.0,8,28.6,72.3,64,0.0
Boleto,PR,Mobile,Manhã,Sim,Não,128.46,2,962.0,7,32.91,77.3,43,0.0
Pix,PE,Desktop,Tarde,Sim,Sim,157.67,7,1428.0,1,28.45,62.7,20,
Boleto,GO,Desktop,Tarde,Sim,Não,,3,637.0,4,20.14,66.1,28,0.0
Boleto,SP,Desktop,Tarde,Não,Não,763.3,1,343.0,7,11.34,65.2,42,1.0
Cartão,BA,Mobile,Noite,Sim,Não,118.49,3,514.0,6,7.81,46.8,56,0.0
Cartão,RJ,Mobile,Manhã,Não,Não,237.29,5,-30.0,5,13.27,56.8,27,0.0
Cartão,MG,Desktop,Madrugada,Não,Não,,4,879.0,7,3.81,77.6,76,1.0
Cartão,PR,Mobile,Tarde,Sim,Não,158.94,2,902.0,3,6.35,25.1,77,0.0
Cartão,RS,Desktop,Noite,Sim,Não,310.84,6,427.0,4,35.36,70.9,62,0.0
Boleto,PR,Mobile,Tarde,Sim,Sim,103.84,2,744.0,9,8.36,0.0,18,0.0
,SP,Mobile,Tarde,Sim,Não,65.24,1,157.0,5,3.15,34.0,76,1.0
Cartão,RJ,Tablet,Tarde,Não,Não,236.49,3,9.0,10,7.2,48.1,64,1.0
Pix,PE,Mobile,Tarde,Não,Sim,43.74,2,969.0,8,50.37,43.8,67,1.0
Cartão,RJ,Mobile,Tarde,Não,Sim,292.11,7,1166.0,7,13.52,65.6,24,0.0
Cartão,MG,,Noite,Sim,Não,1203.07,2,941.0,3,30.32,14.4,34,0.0
Cartão,PR,Mobile,Manhã,Sim,Não,414.25,5,783.0,3,31.84,56.7,50,0.0
Pix,SP,Mobile,Tarde,Não,Sim,62.78,5,1710.0,8,41.55,28.3,64,0.0
Pix,RJ,,Noite,Sim,Não,133.9,1,336.0,8,1.14,63.4,47,0.0
Cartão,PR,Desktop,Noite,Não,Não,280.57,6,1904.0,11,5.55,22.4,48,0.0
Cartão,PR,Mobile,Noite,Sim,Não,194.95,3,883.0,4,6.63,52.6,44,0.0
Cartão,BA,,Tarde,Sim,Não,180.45,5,301.0,5,29.76,,55,1.0
Cartão,GO,Desktop,Tarde,Não,Não,193.51,3,1216.0,5,18.84,31.2,48,0.0
Cartão,GO,Mobile,Tarde,Não,Não,948.96,7,300.0,5,7.91,44.7,65,1.0
Cartão,MG,Mobile,Noite,Sim,Não,746.19,6,1545.0,5,9.62,42.7,43,0.0
Cartão,GO,,Madrugada,Não,Não,166.76,7,348.0,6,0.81,37.9,35,0.0
Cartão,RJ,Mobile,Manhã,Sim,Não,327.96,1,836.0,5,4.36,43.3,61,0.0
Cartão,BA,Mobile,Noite,Sim,Não,219.28,4,488.0,7,0.62,13.7,26,0.0
Cartão,MG,Tablet,Manhã,Não,Não,66.37,1,1676.0,10,16.91,55.0,45,
Boleto,BA,Mobile,Manhã,Sim,Não,98.38,7,379.0,5,15.31,39.8,40,0.0
Cartão,RJ,Desktop,Noite,Sim,Não,306.18,4,214.0,9,15.09,42.2,24,1.0
Pix,GO,Desktop,Manhã,Sim,Não,217.24,5,897.0,5,3.91,63.1,65,0.0
Pix,GO,Mobile,Manhã,Não,Sim,643.42,2,1964.0,8,41.45,32.5,43,1.0
Cartão,SP,Desktop,Noite,Sim,Não,190.72,1,680.0,6,27.49,46.2,38,0.0
Cartão,BA,Mobile,Tarde,Não,Não,298.17,3,1404.0,2,2.08,0.0,70,0.0
Cartão,BA,Desktop,Tarde,Sim,Não,594.47,7,388.0,8,33.91,85.9,65,1.0
,PR,Mobile,Tarde,Sim,Não,846.71,3,298.0,7,45.59,71.1,49,1.0
Cartão,GO,Tablet,Noite,Não,Não,221.51,7,1697.0,6,14.55,38.1,46,0.0
Cartão,RS,Desktop,Madrugada,Não,Não,712.1,6,724.0,6,50.21,83.2,52,1.0
Pix,RJ,Mobile,Manhã,Sim,Não,337.83,4,1123.0,5,39.23,53.4,73,0.0
Cartão,BA,Mobile,Tarde,Não,Não,559.45,3,367.0,8,32.15,1.3,44,0.0
Boleto,RS,Mobile,Tarde,Sim,Não,226.65,5,130.0,3,3.26,28.7,64,0.0
Pix,SP,Mobile,Manhã,Não,Não,223.13,4,906.0,8,24.59,55.8,75,0.0
Cartão,GO,Desktop,Tarde,Sim,Não,390.32,2,,7,13.61,34.7,21,
Cartão,BA,Mobile,Noite,Não,Não,89.03,1,1422.0,5,18.78,35.0,79,0.0
Pix,MG,Mobile,Madrugada,Não,Não,211.61,4,829.0,11,37.13,53.3,48,0.0
,SP,Mobile,Manhã,Não,Não,307.37,7,1307.0,10,9.22,,28,0.0
Pix,SP,Mobile,Madrugada,Não,Não,334.85,6,77.0,7,13.2,29.5,51,0.0
Cartão,BA,Desktop,Tarde,Sim,Não,,6,1357.0,8,57.8,83.9,62,1.0
Boleto,BA,Desktop,Madrugada,Não,Não,98.74,5,694.0,3,19.48,42.0,63,0.0
Pix,PR,Mobile,Tarde,Sim,Não,247.77,4,1565.0,5,30.4,,30,0.0
Cartão,RJ,Mobile,Noite,Sim,Não,170.48,5,776.0,14,10.59,42.9,18,0.0
Boleto,PR,Mobile,Madrugada,Não,Não,591.14,7,216.0,5,29.5,19.6,37,1.0
Cartão,MG,Mobile,Tarde,Não,Não,170.07,6,1477.0,7,24.04,30.6,51,0.0
Cartão,RJ,Desktop,Tarde,Sim,Sim,341.91,4,1500.0,6,9.99,15.6,48,0.0
Pix,PR,Mobile,Tarde,Não,Não,168.0,4,66.0,5,34.66,17.9,59,0.0
Boleto,GO,Desktop,Noite,Não,Não,901.88,7,1493.0,2,35.53,24.5,71,0.0
Cartão,PR,Mobile,Madrugada,Não,Não,532.07,2,614.0,0,3.52,37.0,78,0.0
Pix,BA,Mobile,Noite,Não,Não,207.01,4,987.0,5,2.05,27.2,44,0.0
Cartão,PR,Mobile,Noite,Sim,Não,470.55,5,1736.0,5,12.61,34.6,44,0.0
Cartão,BA,Mobile,Tarde,Não,Não,245.91,4,588.0,10,36.29,46.9,43,0.0
Cartão,SP,Desktop,Noite,Sim,Não,711.88,3,458.0,6,0.62,29.6,79,0.0
Pix,RJ,,Tarde,Não,Não,328.34,2,1714.0,4,28.42,44.0,32,0.0
Cartão,BA,Mobile,Tarde,Não,Não,741.29,5,1735.0,6,24.97,77.3,44,1.0
Cartão,RS,Mobile,Tarde,Não,Não,287.56,1,1449.0,7,12.03,33.8,59,0.0
Boleto,RS,Desktop,Madrugada,Não,Não,571.97,7,1674.0,5,52.87,39.0,56,0.0
Cartão,RS,Mobile,Madrugada,Sim,Não,931.63,7,921.0,8,20.01,52.3,73,0.0
Cartão,RS,Desktop,Tarde,Não,Não,886.01,6,1818.0,8,26.76,64.0,18,0.0
Cartão,PR,Mobile,Noite,Não,Não,585.66,4,628.0,6,20.23,35.6,44,0.0
Cartão,RS,Mobile,Manhã,Não,Não,863.26,7,1434.0,9,5.72,29.0,26,0.0
Cartão,GO,Mobile,Noite,Sim,Não,28.4,5,454.0,7,31.69,58.8,47,0.0
Cartão,BA,Desktop,Noite,Não,Não,547.03,3,854.0,3,7.63,60.1,29,1.0
Cartão,SP,Desktop,Tarde,Sim,Não,569.75,4,512.0,5,30.54,31.6,26,0.0
Pix,MG,Mobile,Tarde,Não,Não,130.51,3,1383.0,9,54.85,50.4,21,0.0
Cartão,MG,Mobile,Tarde,Sim,Não,118.11,4,1676.0,6,38.55,69.4,48,
Boleto,GO,,Noite,Sim,Não,,4,442.0,7,3.79,77.0,66,0.0
Pix,SP,Mobile,Manhã,Não,Não,191.82,6,1479.0,5,2.7,68.4,57,0.0
Cartão,PR,Desktop,Manhã,Não,Não,573.99,6,1946.0,3,1.79,53.0,20,
Cartão,RJ,Mobile,Manhã,Não,Não,698.35,1,781.0,8,27.79,37.4,34,0.0
Cartão,RJ,Desktop,Noite,Não,Não,518.31,50,82.0,7,4.3,39.7,68,0.0
Cartão,BA,Mobile,Madrugada,Sim,Não,509.35,3,709.0,8,6.4,42.4,51,0.0
Pix,PE,Mobile,Noite,Sim,Não,409.51,2,1055.0,8,20.79,46.6,59,1.0
Pix,MG,Mobile,Tarde,Sim,Sim,688.81,6,1809.0,6,44.64,60.7,49,
Cartão,SP,Desktop,Noite,Não,Não,319.7,4,399.0,5,24.76,39.6,56,1.0
Cartão,PE,Mobile,Noite,Não,Não,405.55,1,1558.0,3,49.43,39.5,61,1.0
Pix,PR,Tablet,Manhã,Não,Sim,31.77,2,1733.0,5,13.42,60.5,78,0.0
Cartão,SP,Mobile,Manhã,Não,Não,238.61,3,272.0,7,15.52,19.8,71,0.0
Cartão,MG,Desktop,Tarde,Não,Não,277.86,6,1916.0,7,22.62,53.7,58,0.0
Boleto,SP,Desktop,Noite,Não,Não,441.53,5,1185.0,3,41.76,46.1,60,1.0
Boleto,SP,Mobile,Noite,Não,Não,-500.0,6,297.0,8,21.91,43.2,62,0.0
Cartão,SP,Desktop,Noite,Não,Não,292.11,6,1412.0,5,11.59,28.0,19,0.0
Boleto,BA,Desktop,Tarde,Sim,Não,242.54,1,865.0,2,68.46,37.4,28,1.0
Cartão,PR,Mobile,Tarde,Sim,Não,288.62,7,348.0,7,55.11,54.5,25,0.0
Cartão,GO,Desktop,Tarde,Não,Não,119.23,4,203.0,8,32.47,45.1,52,1.0
Cartão,RJ,Desktop,Manhã,Sim,Não,242.09,7,959.0,9,0.61,62.6,54,0.0
Boleto,PE,Mobile,Tarde,Não,Não,181.71,1,,6,7.02,61.0,44,0.0
Cartão,PE,Mobile,Tarde,Não,Não,595.64,4,938.0,5,33.12,21.4,46,1.0
Cartão,PR,Mobile,Noite,Sim,Sim,488.46,6,,5,2.65,1.1,26,0.0
Cartão,MG,Mobile,Noite,Sim,Não,227.15,6,1927.0,4,9.79,47.8,26,0.0
Pix,PE,Mobile,Madrugada,Não,Não,234.57,1,1139.0,4,0.09,38.3,34,0.0
Pix,RJ,Tablet,Tarde,Não,Não,265.88,3,536.0,2,20.26,40.5,19,0.0
Cartão,RS,Mobile,Noite,Não,Não,236.07,3,556.0,8,27.75,44.7,39,0.0
Cartão,BA,Desktop,Tarde,Não,Não,312.77,7,1778.0,6,36.55,29.1,78,0.0
Boleto,RJ,Mobile,Madrugada,Sim,Não,686.21,3,68.0,6,11.32,48.9,34,1.0
Cartão,RJ,,Manhã,Não,Não,59.6,3,652.0,8,3.29,50.8,19,0.0
Cartão,RJ,Mobile,Manhã,Não,Não,350.22,3,1207.0,4,0.37,34.5,75,0.0
Boleto,SP,Desktop,Tarde,Sim,Não,291.55,4,260.0,9,0.94,50.6,41,0.0
Cartão,GO,Desktop,Madrugada,Sim,Não,178.46,7,1881.0,7,19.91,22.5,55,0.0
Cartão,MG,Mobile,Tarde,Sim,Não,55.77,4,771.0,6,2.07,38.7,43,0.0
Cartão,RS,Mobile,Madrugada,Sim,Não,213.78,5,977.0,7,12.24,38.2,34,0.0
Cartão,BA,Desktop,Tarde,Sim,Não,160.66,6,922.0,4,22.56,72.8,20,1.0
Pix,GO,Mobile,Tarde,Não,Sim,324.47,3,59.0,12,37.45,50.0,39,1.0
Pix,RS,Desktop,Tarde,Não,Não,360.2,2,114.0,5,3.88,67.0,50,0.0
Cartão,MG,Mobile,Noite,Sim,Não,65.24,4,1289.0,7,44.73,45.5,72,0.0
Pix,SP,Desktop,Madrugada,Não,Não,90.31,4,,2,51.75,32.5,23,0.0
Cartão,BA,Desktop,Manhã,Não,Não,,5,781.0,9,32.86,42.1,71,0.0
Pix,PE,Mobile,Tarde,Não,Não,296.36,4,1157.0,6,7.79,27.0,59,0.0
Cartão,RS,Desktop,Noite,Não,Não,423.85,1,623.0,4,34.81,41.3,57,1.0
Cartão,GO,Desktop,Tarde,Sim,Não,358.4,6,1535.0,5,70.52,71.4,29,0.0
Boleto,SP,Mobile,Noite,Sim,Não,137.41,4,1403.0,10,26.57,57.9,34,0.0
Cartão,BA,Desktop,Noite,Sim,Não,103.01,1,53.0,10,38.44,57.7,50,1.0
Cartão,BA,Desktop,Noite,Não,Não,1305.08,5,,2,67.88,60.9,56,1.0
Cartão,GO,Mobile,Noite,Sim,Não,492.51,1,61.0,4,33.84,43.2,60,1.0
Cartão,PR,Mobile,Noite,Não,Não,,6,389.0,6,0.42,,65,0.0
Cartão,SP,Mobile,Noite,Não,Não,156.4,7,844.0,4,27.77,42.8,66,0.0
Cartão,MG,Mobile,Tarde,Não,Não,99.53,2,988.0,7,35.71,60.4,42,1.0
Boleto,PE,Mobile,Manhã,Não,Não,145.41,7,1482.0,1,2.87,41.0,75,0.0
Pix,GO,Desktop,Noite,Sim,Não,1613.92,4,1409.0,3,29.51,24.4,49,0.0
Cartão,PE,Desktop,Madrugada,Não,Não,660.92,2,1443.0,7,11.49,34.4,31,1.0
Cartão,RS,Mobile,Noite,Não,Não,557.67,3,1692.0,4,4.98,92.2,49,0.0
Cartão,SP,Mobile,Tarde,Não,Não,605.37,5,819.0,9,37.85,64.6,63,1.0
Cartão,RS,Mobile,Madrugada,Sim,Não,797.32,5,450.0,4,33.22,33.7,49,1.0
Cartão,SP,Mobile,Noite,Não,Não,399.16,4,1815.0,8,76.1,,23,0.0
Boleto,SP,Desktop,Tarde,Sim,Não,155.41,6,581.0,10,15.78,55.4,47,1.0
Cartão,PR,Mobile,Noite,Sim,Não,148.72,7,1185.0,3,4.14,,51,0.0
Cartão,PR,Mobile,Madrugada,Sim,Não,90.14,4,1359.0,3,11.34,71.6,29,0.0
Cartão,PR,Desktop,Noite,Não,Não,192.32,5,321.0,5,10.5,46.5,71,0.0
Pix,PR,Desktop,Tarde,Não,Não,166.2,4,372.0,2,3.11,39.9,65,0.0
Pix,GO,Desktop,Madrugada,Não,Não,433.04,1,605.0,8,58.83,63.3,71,0.0
Boleto,SP,Mobile,Madrugada,Sim,Não,146.57,6,792.0,5,3.15,60.2,67,1.0
Cartão,PE,Mobile,Tarde,Sim,Não,372.19,6,521.0,6,43.74,62.1,55,
Cartão,GO,Mobile,Noite,Não,Não,1077.35,1,,7,7.49,20.2,63,0.0
Cartão,MG,Desktop,Tarde,Sim,Não,346.26,6,419.0,6,20.12,,38,0.0
Cartão,RJ,Mobile,Manhã,Não,Não,301.65,1,317.0,3,37.2,49.6,63,1.0
,SP,Desktop,Noite,Sim,Não,169.83,5,,13,48.63,43.1,56,
Cartão,RS,Mobile,Noite,Não,Não,541.04,5,328.0,2,20.69,35.3,76,0.0
Pix,MG,Desktop,Noite,Não,Não,440.79,6,1864.0,5,77.76,70.3,74,0.0
Cartão,GO,Mobile,Noite,Sim,Não,783.8,2,535.0,8,12.47,19.0,26,0.0
Pix,RJ,Mobile,Madrugada,Sim,Não,390.96,3,446.0,8,23.91,8.7,30,0.0
Pix,RJ,Mobile,Manhã,Sim,Não,442.98,4,1519.0,5,2.31,17.0,57,0.0
Boleto,PR,Mobile,Noite,Não,Não,231.99,7,428.0,4,5.97,67.4,68,0.0
Cartão,RJ,Mobile,Tarde,Não,Não,329.19,5,187.0,4,47.5,36.4,30,0.0
Cartão,RS,Mobile,Manhã,Não,Não,565.74,2,721.0,5,58.28,0.0,54,0.0
Pix,RS,Mobile,Tarde,Não,Não,862.63,7,603.0,7,44.98,36.8,63,0.0
Cartão,MG,Mobile,Tarde,Não,Não,494.29,3,1757.0,8,2.98,68.0,36,0.0
Cartão,PR,Mobile,Noite,Sim,Não,371.81,1,319.0,10,7.67,21.0,24,0.0
Pix,SP,Mobile,Madrugada,Não,Não,1174.41,4,1291.0,3,5000.0,48.7,50,0.0
Cartão,SP,Mobile,Tarde,Não,Não,103.05,5,1623.0,7,57.65,26.8,66,0.0
Cartão,GO,Desktop,Tarde,Não,Não,384.97,2,1220.0,5,51.4,84.1,28,1.0
Boleto,PR,Mobile,Noite,Não,Não,304.54,7,1361.0,9,28.98,33.3,27,0.0
Cartão,PE,Mobile,Tarde,Não,Sim,65.71,1,1867.0,8,34.19,17.2,31,0.0
Cartão,PR,Desktop,Manhã,Não,Não,151.9,3,1544.0,5,33.48,47.8,28,0.0
Cartão,RJ,Mobile,Tarde,Sim,Não,401.56,6,499.0,4,4.14,37.0,70,0.0
Boleto,PE,Mobile,Noite,Sim,Não,823.36,2,90.0,4,8.5,29.7,38,0.0
Cartão,RJ,Desktop,Manhã,Não,Não,445.73,3,509.0,8,23.21,57.7,72,0.0
Cartão,MG,Mobile,Manhã,Não,Sim,254.07,6,756.0,6,35.18,43.9,64,1.0
Cartão,PR,Mobile,Manhã,Não,Não,400.75,5,1201.0,3,16.08,32.2,58,0.0
Cartão,GO,Desktop,Manhã,Sim,Não,352.81,6,968.0,7,28.12,30.1,56,0.0
